id,name,jp_name,type,episodes,studio,release_season,tags,rating,release_year,end_year,content_warning
748,Eden of the East, Higashi no Eden,TV   ,11,Production I.G,Spring,"Mystery, Amnesia, Conspiracy, High Stakes Games, NEET, noitaminA, Original Work",4.04,2009,,
749,Attack on Titan: Lost Girls, Shingeki no Kyojin: Lost Girls,OVA  ,3,WIT Studio,,"Drama, Fantasy, Mystery, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Light Novel, Explicit Violence",4.04,2017,2018,Explicit Violence
750,Mobile Suit Gundam: The 08th MS Team, Kidou Senshi Gundam: Dai 08 MS Shoutai,OVA  ,12,Sunrise,,"Action, Drama, Mecha, Sci Fi, Forest, Jungle, Military, Real Robot, War, Nudity, Violence",4.04,1996,1999,"Nudity, Violence"
751,Mobile Suit Gundam Wing: Endless Waltz Movie, Gundam Wing: Endless Waltz Movie,Movie,,Sunrise,,"Mecha, Sci Fi, Outer Space",4.04,1998,,
752,My Teen Romantic Comedy SNAFU,"Alt titles: Oregairu, Yahari Ore no Seishun Love Comedy wa Machigatteiru.",TV   ,13,Brain's Base,Spring,"Comedy, Drama, Romance, Seinen, Coming of Age, School Club, School Life, Based on a Light Novel",4.04,2013,,
753,Wolf's Rain OVA,,OVA  ,4,Bones,,"Adventure, Drama, Fantasy, Mystery, Animal Protagonists, Dystopia, Non-Human Protagonists, Post-apocalyptic, Original Work, Violence",4.04,2004,,Violence
754,Berserk: Golden Age Arc I - The Egg of the King, Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,,Studio 4°C,,"Action, Fantasy, Seinen, Dark Fantasy, Demons, Medieval, Mercenaries, Overpowered Main Characters, Swordplay, Based on a Manga, Explicit Violence, Nudity",4.04,2012,,"Explicit Violence, Nudity"
755,The Quintessential Quintuplets, 5-toubun no Hanayome,TV   ,12,Tezuka Productions,Winter,"Comedy, Drama, Harem, Romance, Shounen, School Life, Siblings, Tutors, Based on a Manga",4.04,2019,,
756,Sket Dance OVA,,OVA  ,1,Tatsunoko Production,,"Comedy, Shounen, Slice of Life, Gag, School Club, School Life, Based on a Manga",4.04,2013,,
757,Kaiji - Ultimate Survivor, Gyakkyou Burai Kaiji: Ultimate Survivor,TV   ,26,MADHOUSE,Fall ,"Seinen, Debt, Gambling, High Stakes Games, Mind Games, Psychological, Thriller, Based on a Manga, Mature Themes, Physical Abuse",4.04,2007,2008,"Mature Themes, Physical Abuse"
758,Spiritpact: Bond of The Underworld,"Alt titles: Ling Qi 2nd Season, Soul Contract: Yomi no Chigiri",TV   ,12,Haoliners Animation League,Winter,"Action, BL, Shounen-ai, Chinese Animation, Exorcists, Ghosts, Master-Servant Relationship, Supernatural, Based on a Manga",4.04,2018,,
759,Neon Genesis Evangelion, Shinseiki Evangelion,TV   ,26,GAINAX,Fall ,"Drama, Mecha, Sci Fi, Conspiracy, Kaijuu, Loneliness, Melancholy, Military, Monsters, Post-apocalyptic, Psychological, Super Robot, Original Work, Emotional Abuse, Explicit Violence, Mature Themes, Suicide",4.04,1995,1996,"Emotional Abuse, Explicit Violence, Mature Themes, Suicide"
760,"The Night is Short, Walk On Girl", Yoru wa Mijikashi Aruke yo Otome,Movie,,Science SARU,,"Comedy, Romance, Abstract, Adult Couples, Love Confession, Romantic Comedy, Based on a Novel",4.04,2017,,
761,Orange,,TV   ,13,Telecom Animation Film,Summer,"Drama, Mystery, Romance, Shoujo, Death of a Loved One, Melancholy, Mental Illness, Psychological, School Life, Supernatural, Unrequited Love, Based on a Manga, Mature Themes, Suicide",4.04,2016,,"Mature Themes, Suicide"
762,Tian Bao Fuyao Lu, Legend of Tang,Web  ,13,Sparkly Key Animation Studio,,"BL, Fantasy, Romance, Shounen-ai, Chinese Animation, Based on a Web Novel, CG Animation",4.04,2020,,
763,Aggretsuko, Aggressive Retsuko,Web  ,10,Fanworks,Spring,"Comedy, Animal Protagonists, Anthropomorphic, Coworkers, Music, Non-Human Protagonists, Sanrio Characters, Work Life, Original Work",4.03,2018,,
764,Fanren Xiu Xian Chuan, A Mortal's Journey: The Beginning,Web  ,17,Original Force,,"Fantasy, Chinese Animation, CG Animation",4.03,2020,,
765,Xue Ying Lingzhu Zhi Qiyu Pian,,Web  ,4,Mili Pictures,,"Action, Fantasy, Ancient China, Chinese Animation, Based on a Web Novel, CG Animation",4.03,2020,,
766,Detective Conan Movie 21: Kara Kurenai no Love Letter, Meitantei Conan Movie 21: Kara Kurenai no Love Letter,Movie,,TMS Entertainment,,"Drama, Mystery, Shounen, Age Transformation, Detectives, Based on a Manga",4.03,2017,,
767,Kuroko's Basketball Movie 1: Winter Cup Highlights -Shadow and Light-, Kuroko no Basket Movie 1: Winter Cup Soushuuhen -Kage to Hikari-,Movie,,Production I.G,,"Shounen, Sports, Basketball, Recap, School Club, Tournaments, Based on a Manga",4.03,2016,,
768,YOASOBI: Kaibutsu, YOASOBI: Monster,Music,,Orange,,CG Animation,4.03,2021,,
769,Detective Conan Movie 1: The Time Bombed Skyscraper, Meitantei Conan Movie 1: Tokei Jikake no Matenrou,Movie,,TMS Entertainment,,"Action, Mystery, Shounen, Age Transformation, Detectives, Thriller, Based on a Manga, Violence",4.03,1997,,Violence
770,The Morose Mononokean II, Fukigen na Mononokean: Tsuzuki,TV   ,13,St. Signpost,Winter,"Comedy, Fantasy, Shounen, Contemporary Fantasy, Exorcists, Iyashikei, Japanese Mythology, School Life, Supernatural, Youkai, Based on a Manga",4.03,2019,,
771,The Garden of Sinners Movie 2: ...And Nothing Heart. (Murder Speculation Part A), Kara no Kyoukai Movie 2: Satsujin Kousatsu (Part A),Movie,,ufotable,,"Drama, Horror, Mystery, Romance, Overpowered Main Characters, Split Personality, Supernatural, Based on a Light Novel, Violence",4.03,2007,,Violence
772,Broken Blade Movie 6: Fortress of Lamentation, Break Blade Movie 6: Doukoku no Toride,Movie,,Production I.G,,"Action, Fantasy, Mecha, Magic, Military, War, Violence",4.03,2011,,Violence
773,Hakuouki Movie 1: Wild Dance of Kyoto, Hakuouki Movie 1: Kyoto Ranbu,Movie,,Studio DEEN,,"Action, Drama, Reverse Harem, Feudal Japan, Historical, Samurai, Based on an Otome Game, Based on a Visual Novel",4.03,2013,,
774,Beastars,,TV   ,12,Orange,Fall ,"Drama, Fantasy, Romance, Shounen, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, School Life, Based on a Manga, CG Animation, Bullying, Emotional Abuse, Mature Themes, Sexual Content, Violence",4.03,2019,,"Bullying, Emotional Abuse, Mature Themes, Sexual Content, Violence"
775,Ride Your Wave," Kimi to, Nami ni Noretara",Movie,,Science SARU,,"Drama, Romance, Slice of Life, Adult Couples, Death of a Loved One, Firefighters, Mature Romance, Original Work",4.03,2019,,
776,Goblin Slayer,,TV   ,12,WHITE FOX,Fall ,"Action, Adventure, Fantasy, Seinen, Dark Fantasy, Guilds, Magic, Medieval, Monsters, Based on a Light Novel, Explicit Sex, Explicit Violence, Mature Themes, Physical Abuse, Sexual Abuse",4.03,2018,,"Explicit Sex, Explicit Violence, Mature Themes, Physical Abuse, Sexual Abuse"
777,Death Billiards,,Movie,,MADHOUSE,,"Drama, Afterlife, Anime Tamago, Bar, Billiards, High Stakes Games, Play or Die, Psychological, PVP, Shorts, Supernatural, Thriller, Original Work",4.03,2013,,
778,D.Gray-man, D. Gray-man,TV   ,103,TMS Entertainment,Fall ,"Action, Adventure, Shounen, Afterlife, Demons, Europe, Exorcists, Supernatural, Superpowers, Based on a Manga, Animal Abuse, Mature Themes, Violence",4.03,2006,2008,"Animal Abuse, Mature Themes, Violence"
779,Broken Blade Movie 2: The Path of Separation, Break Blade Movie 2: Ketsubetsu no Michi,Movie,,Production I.G,,"Action, Fantasy, Mecha, Magic, Military, War",4.03,2010,,
780,Silver Fang, Ginga: Nagareboshi Gin,TV   ,21,Toei Animation,,"Action, Adventure, Shounen, Animal Protagonists, Bears, Dogs, Non-Human Protagonists, Revenge, Based on a Manga, Animal Abuse, Explicit Violence, Mature Themes",4.03,1986,,"Animal Abuse, Explicit Violence, Mature Themes"
781,Kase-san & Morning Glories, Asagao to Kase-san.,Movie,,Zexcs,,"GL, Romance, Shoujo-ai, Opposites Attract, School Life, Based on a Manga",4.03,2018,,
782,Ascendance of a Bookworm OVA, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,OVA  ,2,Ajia-do,,"Fantasy, Cheats, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Short Episodes, Based on a Light Novel",4.03,2020,,
783,Pokemon: The Origin, Pokemon Origins,TV Sp,,OLM,,"Action, Adventure, Fantasy, Shounen, Elemental Powers, Monsters, Proxy Battles, Based on a Video Game",4.03,2013,,
784,The Eccentric Family 2, Uchouten Kazoku 2,TV   ,12,P.A. WORKS,Spring,"Comedy, Drama, Fantasy, Slice of Life, Animal Transformation, Contemporary Fantasy, Family Life, Japanese Mythology, Non-Human Protagonists, Urban Fantasy, Youkai, Based on a Novel",4.03,2017,,
785,The Anthem of the Heart, Kokoro ga Sakebitagatterunda.,Movie,,A-1 Pictures,,"Drama, Coming of Age, Mental Illness, School Life, Supernatural, Original Work",4.03,2015,,
786,Free! Dive to the Future: Build-Up of Early Spring!, Free! Dive to the Future: Soushun no Build-up!,DVD S,,Animation Do,,"Slice of Life, Sports, Swimming, Based on a Light Novel",4.03,2018,,
787,Magic Kaito,,TV Sp,,TMS Entertainment,,"Action, Comedy, Drama, Shounen, Secret Identity, Thieves, Based on a Manga",4.03,2010,2012,
788,Detective Conan Movie 12: Full Score of Fear, Meitantei Conan Movie 12: Senritsu no Gakufu,Movie,,TMS Entertainment,,"Drama, Mystery, Shounen, Age Transformation, Classical Music, Detectives, Music, Music School, School Life, Based on a Manga",4.03,2008,,
789,Free! Eternal Summer,,TV   ,13,Animation Do,Summer,"Comedy, Drama, Sports, Childhood Friends, Rivalries, School Club, School Life, Swimming, Based on a Light Novel",4.03,2014,,
790,Tamako Love Story,,Movie,,Kyoto Animation,,"Romance, Slice of Life, Love Confession, Original Work",4.03,2014,,
791,Rurouni Kenshin: Special Techniques,,TV Sp,,Gallop,,"Action, Shounen, Feudal Japan, Samurai, Swordplay, Based on a Manga",4.03,1997,,
792,Seitokai Yakuindomo* OVA,,OVA  ,10,GoHands,,"Comedy, Shounen, Crude, Newly Co-ed School, Parody, Satire, School Life, Student Council, Based on a 4-Koma Manga, Based on a Manga, Sexual Content",4.02,2014,2020,Sexual Content
793,The Melancholy of Haruhi Suzumiya, Suzumiya Haruhi no Yuuutsu,TV   ,14,Kyoto Animation,Spring,"Comedy, Shounen, Breaking the Fourth Wall, School Club, School Life, Based on a Light Novel",4.02,2006,,
794,Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up)," Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! (Amari Kitai Shinaide Kudasai)",DVD S,,Kyoto Animation,,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Urban Fantasy, Based on a Manga",4.02,2017,,
795,Noragami OVA,,OVA  ,2,Bones,,"Comedy, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga",4.02,2014,,
796,Phantom: Requiem for the Phantom,,TV   ,26,BEE TRAIN,Spring,"Action, Amnesia, Assassins, Criminals, Gangs, Guns, Psychological, Based on a Visual Novel, Nudity, Violence",4.02,2009,,"Nudity, Violence"
797,Durarara!! X2: My Heart Is in the Pattern of a Hot Pot, Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Other,,Shuka,,"Slice of Life, Food and Beverage, Supernatural, Based on a Light Novel",4.02,2015,,
798,The Misfit of Demon King Academy," Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",TV   ,13,SILVER LINK.,Summer,"Action, Comedy, Fantasy, Demon King, Demons, Magic, Magic School, Non-Human Protagonists, Overpowered Main Characters, Reincarnation, School Life, Based on a Light Novel, Violence",4.02,2020,,Violence
799,Free! Dive to the Future,,TV   ,12,Animation Do,Summer,"Sports, Codependency, School Club, Swimming, Based on a Light Novel",4.02,2018,,
800,Zombie Land Saga Revenge,,TV   ,12,MAPPA,Spring,"Idols, Music, Supernatural, Zombies, Original Work",4.02,2021,,
